model,scenario_id,n_masts,shapley_source_evidence,shapley_sensor_visibility,shapley_wind_error_sensitivity,shapley_fit_quality,v_all_maps,v_no_maps,efficiency_residual
DeepSets,ch4t-test-000178,5,-0.085979,0.629311,-0.096614,0.188731,-7.438975,-8.074423,0.000e+00
DeepSets,ch4t-test-000179,12,-0.002398,1.833224,-0.191677,-0.008562,-6.205306,-7.835893,0.000e+00
DeepSets,ch4t-test-000180,12,0.375218,0.073686,0.414636,-0.220153,-7.145920,-7.789307,1.110e-16
DeepSets,ch4t-test-000181,10,-0.330980,1.648173,-0.691344,-0.043892,-7.326967,-7.908924,2.220e-16
DeepSets,ch4t-test-000182,10,1.886736,-0.388823,1.046179,0.234857,-5.312628,-8.091577,0.000e+00
DeepSets,ch4t-test-000183,4,1.026757,0.291505,0.488867,0.492564,-4.979959,-7.279652,0.000e+00
DeepSets,ch4t-test-000184,4,0.640877,-1.096029,0.374324,-0.282086,-8.687775,-8.324861,5.551e-17
DeepSets,ch4t-test-000185,6,3.390918,-0.960913,2.120609,0.047785,-3.267654,-7.866054,0.000e+00
DeepSets,ch4t-test-000186,8,0.736049,-0.406383,0.917371,-0.225415,-6.616590,-7.638212,2.220e-16
DeepSets,ch4t-test-000187,10,0.061263,1.746174,0.105607,-0.143547,-6.130950,-7.900446,0.000e+00
DeepSets,ch4t-test-000188,9,0.666478,-0.047003,0.799036,0.581265,-6.106979,-8.106755,0.000e+00
DeepSets,ch4t-test-000189,6,1.508798,-1.340289,1.772488,-0.275420,-6.534193,-8.199770,0.000e+00
DeepSets,ch4t-test-000190,7,1.744668,1.493459,-1.276939,0.854921,-4.881002,-7.697112,0.000e+00
DeepSets,ch4t-test-000191,8,1.745546,0.804019,0.796454,0.307446,-4.254621,-7.908085,0.000e+00
DeepSets,ch4t-test-000192,7,2.839687,0.682199,0.649911,0.254956,-3.432068,-7.858821,8.882e-16
DeepSets,ch4t-test-000193,4,0.835096,-1.033531,0.288455,0.237524,-7.795655,-8.123198,1.665e-16
DeepSets,ch4t-test-000194,7,1.934076,-0.055778,0.699859,-0.143974,-5.630515,-8.064698,0.000e+00
DeepSets,ch4t-test-000195,5,-0.101189,0.911297,-0.242478,0.402209,-6.567386,-7.537225,2.220e-16
DeepSets,ch4t-test-000196,7,-0.416784,0.304137,0.706397,0.253072,-7.259640,-8.106463,1.110e-16
DeepSets,ch4t-test-000197,5,-0.184248,2.010176,-0.358221,0.188694,-6.568419,-8.224821,2.220e-16
DeepSets,ch4t-test-000198,4,0.541948,-0.657072,1.407598,0.142963,-6.485604,-7.921040,0.000e+00
DeepSets,ch4t-test-000199,9,-0.200141,0.135910,-0.375596,0.370330,-7.799258,-7.729760,5.551e-17
DeepSets,ch4t-test-000200,8,4.886734,-0.512444,-0.254515,0.437150,-3.025840,-7.582765,8.882e-16
DeepSets,ch4t-test-000201,7,1.100373,-1.485485,1.693184,-0.605989,-7.259263,-7.961345,4.441e-16
DeepSets,ch4t-test-000202,9,4.386137,-0.084815,-0.773068,0.840628,-3.647350,-8.016233,0.000e+00
DeepSets,ch4t-test-000203,12,6.141520,-1.051989,-1.677828,0.266012,-4.388434,-8.066149,4.441e-16
DeepSets,ch4t-test-000204,12,-0.008547,1.182920,0.001617,0.140914,-6.569033,-7.885937,0.000e+00
DeepSets,ch4t-test-000205,11,-0.033506,1.003077,-0.148193,0.308665,-6.989011,-8.119054,0.000e+00
DeepSets,ch4t-test-000206,9,0.301954,0.414652,0.829323,0.328175,-6.327596,-8.201700,0.000e+00
DeepSets,ch4t-test-000207,12,5.636860,-0.674393,-1.355575,0.342761,-3.917239,-7.866893,4.441e-16
DeepSets,ch4t-test-000208,4,-2.512155,-1.683302,-0.377258,0.363438,-12.175595,-7.966317,0.000e+00
DeepSets,ch4t-test-000209,4,0.036296,0.009890,0.231350,-0.407204,-8.427286,-8.297619,5.551e-17
DeepSets,ch4t-test-000210,6,0.013979,0.776929,-0.144392,-0.327423,-7.358388,-7.677481,0.000e+00
DeepSets,ch4t-test-000211,7,1.868434,-1.516415,2.245524,-0.326285,-5.526920,-7.798179,4.441e-16
DeepSets,ch4t-test-000212,4,3.340636,0.184283,0.438478,0.761917,-3.217225,-7.942539,0.000e+00
DeepSets,ch4t-test-000213,9,2.133918,0.397071,0.505795,0.712350,-4.048382,-7.797516,0.000e+00
DeepSets,ch4t-test-000214,7,0.310839,0.031661,0.072684,-0.007708,-7.451358,-7.858835,5.551e-17
DeepSets,ch4t-test-000215,11,1.593646,0.870068,1.116567,0.227147,-3.963069,-7.770499,0.000e+00
DeepSets,ch4t-test-000216,9,0.537046,0.885135,0.379586,-0.114069,-6.085899,-7.773598,0.000e+00
DeepSets,ch4t-test-000217,6,1.260886,-0.933793,0.956036,-0.181065,-6.369847,-7.471911,0.000e+00
DeepSets,ch4t-test-000218,7,1.910073,-0.514240,0.846870,0.133894,-5.598734,-7.975331,0.000e+00
DeepSets,ch4t-test-000219,11,-0.085261,1.423588,-0.153848,-0.050693,-6.765057,-7.898843,2.220e-16
DeepSets,ch4t-test-000220,7,-0.113913,0.734260,-0.111305,0.178162,-7.073256,-7.760461,0.000e+00
DeepSets,ch4t-test-000221,10,1.369446,0.522373,0.920230,0.409979,-4.347156,-7.569184,0.000e+00
DeepSets,ch4t-test-000222,6,2.241319,0.114080,-0.053419,0.381144,-5.482758,-8.165882,0.000e+00
DeepSets,ch4t-test-000223,10,-0.030708,1.342449,-0.195476,0.120230,-6.847514,-8.084008,0.000e+00
DeepSets,ch4t-test-000224,10,0.995222,0.465336,0.675598,0.237674,-5.705246,-8.079076,0.000e+00
DeepSets,ch4t-test-000225,12,2.317886,0.021680,0.785116,0.709186,-3.917192,-7.751059,0.000e+00
DeepSets,ch4t-test-000226,11,1.163866,0.929912,0.703993,0.389000,-4.661990,-7.848761,0.000e+00
DeepSets,ch4t-test-000227,5,0.259335,-0.057824,0.464027,0.600387,-6.708753,-7.974678,0.000e+00
DeepSets,ch4t-test-000228,9,1.941922,-0.296639,0.810361,0.248413,-5.228265,-7.932322,0.000e+00
DeepSets,ch4t-test-000229,5,2.491999,0.527838,1.107605,0.740574,-3.317068,-8.185083,0.000e+00
DeepSets,ch4t-test-000230,11,0.797738,0.778741,-0.337256,-0.743969,-7.358563,-7.853817,0.000e+00
